name,area,address,cost,timings,rating,cuisines,contact,highlights
Mamagoto,Banjara Hills,"Shop 8-2-686/8/6/A, 12th Square, Road 12, Banjara Hills, Hyderabad","₹1,500",12:30 PM to 11 PM,4.2,Asian,"+91 9100021815, +91 9100027204","Outdoor Seating, Buffet, Valet Parking Available, Smoking Area"
Ohri's Ruci & Idoni Bistro,Banjara Hills,"1st Floor, 8-2-594/A/1, Urmila Heights, Opposite Rainbow Hospital, Road 10, Banjara Hills, Hyderabad","₹1,400","11 AM to 11 PM (Mon-Sat), 8:30 AM to 11 PM (Sun)",4.2,"Italian, European, Continental",040 33165780,"Wifi, Valet Parking Available, Zomato Fulfilled Delivery"
Ohri's 100 Degrees,Hitech City,"Ohri's, Ground Floor, Shilparamam Complex, Opposite Cyber Tower, Hitech City, Hyderabad","₹1,000",11:30 AM to 11:30 PM,4.2,Continental,040 33165758,"Wifi, Zomato Fulfilled Delivery"
13 DHABA,Gachibowli,"1-72/3A, Andhra Bank Lane, Near H.P. Petrol Pump, Gachibowli, Hyderabad",₹450,"8 AM to 3:30 PM, 7 PM to 10:30 PM (Tue-Sun), Mon Closed",4.0,North Indian,+91 7842880159,"Zomato Fulfilled Delivery, Outdoor Seating"
NorFest - The Dhaba,Gachibowli,"Level 3, SLN Terminus Mall, Gachibowli, Hyderabad",₹450,12 Noon to 10:30 PM,4.7,North Indian,"+91 9899404258, +91 7702048743",Paid Parking
The Grand Trunk Road,Madhapur,"Image Garden Road, Madhapur, Hyderabad","₹1,100","12 Noon to 3:15 PM, 7 PM to 11:15 PM (Mon-Sun)",3.9,"North Indian, Chinese",040 33194258,"Buffet, Free Parking, Outdoor Seating, Kid Friendly, Smoking Area, Valet Parking Available, Private Dining Area Available"
Chili's,Banjara Hills,"Flat 48, Ground Floor, Opposite Vengal Rao Park, Road 1, Banjara Hills, Hyderabad","₹1,700",12 Noon to 11 PM,4.6,"Mexican, American, Tex-Mex, Burger","040 40164353, 040 42219494","Valet Parking Available, Wifi, Live Sports Screening, Smoking Area"
United Kitchens of India,Jubilee Hills,"Road 45, Jubilee Hills, Hyderabad","₹1,100","12:30 PM to 3:30 PM, 7:30 PM to 12 Midnight",4.0,"Andhra, Kerala, Chettinad, Bengali, North Indian, Rajasthani, Chinese",040 33165208,"Disabled Friendly, Smoking Area, Wifi, Nightlife, Live Music, Valet Parking Available, Kid Friendly, Private Dining Area Available, Outdoor Seating, Drinking Age Applicable"
Bikanervala,Banjara Hills,"6-3-190/2, Road 1, Banjara Hills, Hyderabad",₹700,8 AM to 11 PM,4.0,"North Indian, Street Food, South Indian, Chinese, Mithai","+91 9160016801, 040 66661111","Desserts and Bakes, Valet Parking Available, Serves Jain Food, Buffet"
Guilt Trip,Banjara Hills,"8-2-585/2/A/1, Road 9, Banjara Hills, Hyderabad",₹700,11 AM to 11 PM,4.2,"Cafe, Bakery",040 65155050,"Desserts and Bakes, Free Parking, Kid Friendly, Zomato Fulfilled Delivery, Gluten Free Options, Vegan Options, Live Sports Screening, Valet Parking Available, Wifi"
Sardarji's Dhaba,Gachibowli,"Beside Hdfc Bank Indranagar, Gachibowli, Hyderabad",₹400,"12 Noon to 3:30 PM, 7 PM to 10:30 PM",3.9,"Street Food, North Indian, Fast Food",040 33165121,
Angaara Kababs on Charcoal,Kondapur,"2-20/6, Kothaguda Cross Road, Near Toyota Showroom, Kondapur, Hyderabad",₹450,12 Noon to 11 PM,3.7,"North Indian, Mughlai, Chinese","040 23114786, +91 9640884010",
Paradise Food Court,Hitech City,"Beside Shilpa Kalavedika, Opposite Cyber Tower, Hitech City, Hyderabad",₹600,11:30 AM to 11 PM,3.6,"Biryani, North Indian, Chinese","+91 8099934689, +91 8686101019",
FIREWATER  Kitchen & Bar,Hitech City,"5th Floor, Phoenix Tower A, Opposite Trident Hotel, Hitech City, Hyderabad","₹1,300",12 Noon to 11 PM,4.1,"Chinese, North Indian",040 33165822,"Smoking Area, Wifi, Live Sports Screening, Valet Parking Available"
Jonathan's Kitchen - Holiday Inn Express & Suites,Gachibowli,"Holiday Inn Express & Suites, Gachibowli, Hyderabad","₹1,900","11:30 AM to 3 PM, 7 PM to 11 PM",4.1,"North Indian, Japanese, Italian",040 33165791,"Live Music, Valet Parking Available, Private Dining Area Available, Buffet, Luxury Dining, Smoking Area, Wifi"
Parathas & More,Kondapur,"50 & 52, Opposite Apollo Pharmacy, Next To Vaishnavi Honda, Kondapur, Hyderabad",₹600,"11:30 AM to 4 PM, 7 PM to 11 PM (Mon-Fri), 11 AM to 4 PM, 7 PM to 11 PM (Sat-Sun)",3.8,North Indian,040 33165186,"Wifi, Zomato Fulfilled Delivery"
Ohri's Rubaiyat,Hitech City,"Ohris Cyber Pearl, Block 1,, Madhapur, Cyberabad, Hitech City, Hyderabad",₹900,"12 Noon to 3:30 PM, 7 PM to 11:30 PM",4.0,"Continental, North Indian, Mughlai","+91 9866645619, +91 7893010001",
Exotica,Banjara Hills,"Opposite Audi Showroom, 5th Floor, 12th Square Building, Road 12, Banjara Hills, Hyderabad","₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM",4.2,"Mughlai, North Indian, Chinese",040 33165068,"Valet Parking Available, Disabled Friendly, Outdoor Seating, Kid Friendly, Buffet, City View, Rooftop"
Chili's,Hitech City,"F 48, 1st Floor, Inorbit Mall, Hitech City, Hyderabad","₹1,700",12 Noon to 11 PM,4.5,"Mexican, American, Tex-Mex, Burger","040 40126804, 040 40126801",Outdoor Seating
